Kind,Name,File,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLine_Html,CountLine_Javascript,CountLine_Php,CountLineBlank,CountLineBlank_Html,CountLineBlank_Javascript,CountLineBlank_Php,CountLineCode,CountLineCode_Javascript,CountLineCode_Php,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineComment_Html,CountLineComment_Javascript,CountLineComment_Php,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtDecl_Javascript,CountStmtDecl_Php,CountStmtExe,CountStmtExe_Javascript,CountStmtExe_Php,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,CountClassBase
Abstract Method,"org.apache.maven.artifact.installer.ArtifactInstaller.install",maven-maven-3.0/maven-compat/src/main/java/org/apache/maven/artifact/installer/ArtifactInstaller.java,,,,,,,,,,,,,,,,,,,,,,,,,,0,14,,,,0,,,,2,,,2,0,12,,,,0,0,0,1,1,1,,,0,,,0,0,0,0,0,,,,,0,,0,0,,,6.00,0,0,0,0,
Abstract Method,"org.apache.maven.artifact.installer.ArtifactInstaller.install",maven-maven-3.0/maven-compat/src/main/java/org/apache/maven/artifact/installer/ArtifactInstaller.java,,,,,,,,,,,,,,,,,,,,,,,,,,2,10,,,,0,,,,2,,,2,0,8,,,,0,0,0,1,1,1,,,0,,,0,0,0,0,0,,,,,0,,0,0,,,4.00,0,0,0,0,
Public Class,"org.apache.maven.artifact.installer.ArtifactInstallerTest",maven-maven-3.0/maven-compat/src/test/java/org/apache/maven/artifact/installer/ArtifactInstallerTest.java,1,1,1,1,8,1,6,0,2,2,0,,0,0,,,,3,1,3,27,0,0,2,1,,35,,,,8,,,,23,,,11,8,4,,,,,,,9,13,8,,,5,,,,,,,,1,1,1,1,,3,0,,33,33,0.17,3,3,3,3,1
Protected Method,"org.apache.maven.artifact.installer.ArtifactInstallerTest.component",maven-maven-3.0/maven-compat/src/test/java/org/apache/maven/artifact/installer/ArtifactInstallerTest.java,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,,,,0,,,,4,,,1,1,0,,,,1,1,0,1,2,1,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1,
Protected Method,"org.apache.maven.artifact.installer.ArtifactInstallerTest.setUp",maven-maven-3.0/maven-compat/src/test/java/org/apache/maven/artifact/installer/ArtifactInstallerTest.java,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,,,,1,,,,6,,,2,2,0,,,,3,1,0,2,3,1,,,2,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1,
Public Method,"org.apache.maven.artifact.installer.ArtifactInstallerTest.testArtifactInstallation",maven-maven-3.0/maven-compat/src/test/java/org/apache/maven/artifact/installer/ArtifactInstallerTest.java,,,,,,,,,,,,,,,,,,,,,,,,,,1,13,,,,4,,,,9,,,5,5,0,,,,6,1,0,5,6,4,,,2,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1,
Public Class,"org.apache.maven.artifact.installer.DefaultArtifactInstaller",maven-maven-3.0/maven-compat/src/main/java/org/apache/maven/artifact/installer/DefaultArtifactInstaller.java,4,4,4,1,35,4,28,2,12,12,0,,0,0,,,,2,2,2,2,0,0,0,2,,88,,,,13,,,,67,,,21,31,8,,,,,,,25,35,14,,,21,,,,,,,,7,7,8,1,,2,2,,50,50,0.12,8,8,9,2,2
Public Method,"org.apache.maven.artifact.installer.DefaultArtifactInstaller.install",maven-maven-3.0/maven-compat/src/main/java/org/apache/maven/artifact/installer/DefaultArtifactInstaller.java,,,,,,,,,,,,,,,,,,,,,,,,,,4,9,,,,1,,,,7,,,4,3,1,,,,3,1,0,3,4,3,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,0.14,1,1,1,1,
Public Method,"org.apache.maven.artifact.installer.DefaultArtifactInstaller.install",maven-maven-3.0/maven-compat/src/main/java/org/apache/maven/artifact/installer/DefaultArtifactInstaller.java,,,,,,,,,,,,,,,,,,,,,,,,,,6,61,,,,7,,,,50,,,9,28,4,,,,22,32,2,20,28,8,,,20,,,7,7,8,1,3,,,,,0,,2,0,,,0.08,7,7,8,1,
Package,"org.apache.maven.artifact.manager",maven-maven-3.0/maven-compat/src/main/java/org/apache/maven/artifact/manager/DefaultWagonManager.java,2,2,3,2,16,2,14,0,,,,3,0,0,,3,,12,5,12,,5,0,0,7,,277,,,,43,,,,164,,,82,50,70,,,,,,,77,101,65,,,36,,,,,,,,6,6,8,6,,,5,,,,0.43,19,19,22,17,
Public Class,"org.apache.maven.artifact.manager.DefaultWagonManager",maven-maven-3.0/maven-compat/src/main/java/org/apache/maven/artifact/manager/DefaultWagonManager.java,3,3,4,3,21,3,18,0,10,10,0,,0,0,,,,5,5,5,24,0,0,0,5,,137,,,,27,,,,107,,,35,48,3,,,,,,,39,59,25,,,34,,,,,,,,6,6,8,6,,2,5,,68,68,0.03,17,17,20,15,2
Public Method,"org.apache.maven.artifact.manager.DefaultWagonManager.getArtifact",maven-maven-3.0/maven-compat/src/main/java/org/apache/maven/artifact/manager/DefaultWagonManager.java,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,,,,0,,,,5,,,2,1,0,,,,1,1,0,1,2,1,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1,
Public Method,"org.apache.maven.artifact.manager.DefaultWagonManager.getArtifact",maven-maven-3.0/maven-compat/src/main/java/org/apache/maven/artifact/manager/DefaultWagonManager.java,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,,,,0,,,,5,,,2,1,0,,,,1,1,0,1,2,1,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1,
Public Method,"org.apache.maven.artifact.manager.DefaultWagonManager.getAuthenticationInfo",maven-maven-3.0/maven-compat/src/main/java/org/apache/maven/artifact/manager/DefaultWagonManager.java,,,,,,,,,,,,,,,,,,,,,,,,,,3,38,,,,6,,,,31,,,7,17,1,,,,17,6,1,12,19,7,,,12,,,6,6,7,6,6,,,,,6,,5,6,,,0.03,6,6,7,6,
Public Method,"org.apache.maven.artifact.manager.DefaultWagonManager.getMirrorRepository",maven-maven-3.0/maven-compat/src/main/java/org/apache/maven/artifact/manager/DefaultWagonManager.java,,,,,,,,,,,,,,,,,,,,,,,,,,5,22,,,,4,,,,17,,,3,10,1,,,,13,3,0,6,9,3,,,6,,,3,3,3,1,0,,,,,0,,2,0,,,0.06,3,3,3,1,
Public Method,"org.apache.maven.artifact.manager.DefaultWagonManager.getProxy",maven-maven-3.0/maven-compat/src/main/java/org/apache/maven/artifact/manager/DefaultWagonManager.java,,,,,,,,,,,,,,,,,,,,,,,,,,3,39,,,,6,,,,33,,,7,19,0,,,,21,6,1,14,21,7,,,14,,,6,6,8,6,6,,,,,6,,5,6,,,0.00,6,6,8,6,
Public Class,"org.apache.maven.artifact.manager.WagonConfigurationException",maven-maven-3.0/maven-compat/src/main/java/org/apache/maven/artifact/manager/WagonConfigurationException.java,1,1,1,1,4,0,4,0,0,0,0,,0,0,,,,2,0,2,6,0,0,0,2,,16,,,,1,,,,12,,,4,2,3,,,,,,,2,5,3,,,2,,,,,,,,1,1,1,1,,3,0,,0,0,0.25,2,2,2,2,1
Public Constructor,"org.apache.maven.artifact.manager.WagonConfigurationException.WagonConfigurationException",maven-maven-3.0/maven-compat/src/main/java/org/apache/maven/artifact/manager/WagonConfigurationException.java,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,,,,0,,,,4,,,1,1,0,,,,2,1,0,1,2,1,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1,
Public Constructor,"org.apache.maven.artifact.manager.WagonConfigurationException.WagonConfigurationException",maven-maven-3.0/maven-compat/src/main/java/org/apache/maven/artifact/manager/WagonConfigurationException.java,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,,,,0,,,,4,,,1,1,0,,,,2,1,0,1,2,1,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1,
