Kind,Name,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFileCode,CountDeclFileHeader,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodFriend,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountDeclMethodStrictPrivate,CountDeclMethodStrictPublished,CountDeclModule,CountDeclProperty,CountDeclSubprogram,CountInput,CountLine,CountLine_Html,CountLine_Javascript,CountLine_Php,CountLineBlank,CountLineBlank_Html,CountLineBlank_Javascript,CountLineBlank_Php,CountLineCode,CountLineCode_Javascript,CountLineCode_Php,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineComment_Html,CountLineComment_Javascript,CountLineComment_Php,CountLineInactive,CountLinePreprocessor,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtDecl_Javascript,CountStmtDecl_Php,CountStmtEmpty,CountStmtExe,CountStmtExe_Javascript,CountStmtExe_Php,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"src/main/threads.c",0,0,0,220,837,436,0,0,0,0,0,0,0,0,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,1477,,,,23,,,,69,,,0,0,47,,,,1316,117,,,,456,0,0,,,0,0,,,,,,,,0,0,0,0,,,0,,,,0.68,0,0,0,0
File,"src/main/tls.c",0,0,0,389,1849,531,0,0,0,0,0,0,0,0,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,2750,,,,7,,,,2,,,0,0,25,,,,2707,94,,,,945,0,0,,,0,0,,,,,,,,0,0,0,0,,,0,,,,12.50,0,0,0,0
File,"src/main/tls_listen.c",0,0,0,105,414,112,0,0,0,0,0,0,0,0,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,625,,,,4,,,,2,,,0,0,25,,,,589,23,,,,228,0,0,,,0,0,,,,,,,,0,0,0,0,,,0,,,,12.50,0,0,0,0
File,"src/main/util.c",4,17,5,168,603,346,2,2,3,1,26,4,15,5,,,,,0,,,,,,,16,,,,,,,,,,,,,,,,,,,1090,,,,162,,,,524,,,70,53,341,,,,54,36,,,,333,133,73,,,0,60,,,,,,,,7,7,9,6,,,3,,,,0.65,36,36,41,21
File,"src/main/valuepair.c",9,37,10,222,834,431,3,3,3,2,55,8,33,10,,,,,0,,,,,,,22,,,,,,,,,,,,,,,,,,,1472,,,,209,,,,748,,,108,76,419,,,,96,13,,,,452,227,114,,,0,113,,,,,,,,7,7,7,6,,,2,,,,0.56,69,69,69,51
File,"src/main/version.c",0,0,0,22,105,39,0,0,0,0,0,0,0,0,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,164,,,,14,,,,26,,,0,0,28,,,,57,43,,,,41,0,0,,,0,0,,,,,,,,0,0,0,0,,,0,,,,1.08,0,0,0,0
File,"src/main/xlat.c",11,47,9,361,1396,385,5,5,5,3,65,11,44,8,,,,,0,,,,,,,28,,,,,,,,,,,,,,,,,,,2086,,,,353,,,,1281,,,143,256,373,,,,96,40,,,,842,513,179,,,15,319,,,,,,,,30,30,33,25,,,4,,,,0.29,142,140,150,101
File,"src/modules/proto_dhcp/dhcp.c",17,77,18,244,1053,276,6,6,6,1,111,17,72,18,,,,,0,,,,,,,12,,,,,,,,,,,,,,,,,,,1541,,,,238,,,,934,,,121,75,276,,,,63,64,,,,584,210,117,,,1,92,,,,,,,,30,30,30,5,,,4,,,,0.30,71,71,71,21
File,"src/modules/proto_dhcp/dhcpclient.c",0,0,0,77,310,69,0,0,0,0,0,0,0,0,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,451,,,,3,,,,1,,,0,0,24,,,,418,18,,,,178,0,0,,,0,0,,,,,,,,0,0,0,0,,,0,,,,24.00,0,0,0,0
File,"src/modules/proto_dhcp/dhcpd.c",7,32,12,99,394,230,6,6,6,4,49,7,32,12,,,,,0,,,,,,,8,,,,,,,,,,,,,,,,,,,681,,,,76,,,,289,,,65,61,170,,,,167,9,,,,207,149,62,,,0,87,,,,,,,,21,21,21,15,,,3,,,,0.59,46,46,48,34
