Kind,Name,File,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFileCode,CountDeclFileHeader,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodFriend,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLine_Html,CountLine_Javascript,CountLine_Php,CountLineBlank,CountLineBlank_Html,CountLineBlank_Javascript,CountLineBlank_Php,CountLineCode,CountLineCode_Javascript,CountLineCode_Php,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineComment_Html,CountLineComment_Javascript,CountLineComment_Php,CountLineInactive,CountLinePreprocessor,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtDecl_Javascript,CountStmtDecl_Php,CountStmtEmpty,CountStmtExe,CountStmtExe_Javascript,CountStmtExe_Php,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Static Function,"f_winnr",neovim-0.2.0/src/nvim/eval.c,,,,1,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,7,,,,1,,,,6,,,2,3,0,,,,0,0,4,1,0,3,3,1,,,0,2,,,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Static Function,"f_winrestcmd",neovim-0.2.0/src/nvim/eval.c,,,,2,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,19,,,,2,,,,17,,,4,11,0,,,,0,0,8,2,0,12,16,4,,,0,12,,,3,3,3,1,0,,,,,0,,1,0,,0.00,,,,
Static Function,"f_winrestview",neovim-0.2.0/src/nvim/eval.c,,,,3,44,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,47,,,,3,,,,44,,,8,30,0,,,,0,0,20,1025,3,19,35,7,,,0,28,,,12,12,13,1,1,,,,,0,,2,0,,0.00,,,,
Static Function,"f_winsaveview",neovim-0.2.0/src/nvim/eval.c,,,,3,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,18,,,,3,,,,15,,,2,11,0,,,,0,0,3,1,0,12,12,1,,,0,11,,,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Static Function,"f_winwidth",neovim-0.2.0/src/nvim/eval.c,,,,1,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10,,,,1,,,,9,,,2,4,0,,,,0,0,3,2,0,4,4,1,,,0,3,,,2,2,2,1,1,,,,,0,,1,0,,0.00,,,,
Static Function,"f_wordcount",neovim-0.2.0/src/nvim/eval.c,,,,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,,,,0,,,,5,,,2,2,0,,,,0,0,2,1,0,2,3,1,,,0,2,,,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Static Function,"f_writefile",neovim-0.2.0/src/nvim/eval.c,,,,4,59,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,64,,,,4,,,,59,,,27,61,2,,,,0,0,13,47,2,32,52,11,,,0,41,,,17,14,18,12,25,,,,,24,,3,23,,0.03,,,,
Static Function,"f_xor",neovim-0.2.0/src/nvim/eval.c,,,,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,,,,0,,,,5,,,1,2,0,,,,0,0,4,1,0,1,1,0,,,0,1,,,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Static Function,"failure_chance",neovim-0.2.0/src/nvim/regexp_nfa.c,,,,15,124,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,150,,,,15,,,,124,,,3,114,11,,,,0,0,1,16,1,20,119,3,,,1,115,,,100,6,100,16,87,,,,,87,,2,87,,0.09,,,,
Function,"farsi_f8",neovim-0.2.0/src/nvim/farsi.c,,,,1,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,16,,,,1,,,,15,,,1,8,0,,,,0,0,5,3,0,7,10,1,,,0,9,,,3,3,3,1,1,,,,,0,,2,0,,0.00,,,,
Function,"farsi_f9",neovim-0.2.0/src/nvim/farsi.c,,,,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,11,,,,0,,,,11,,,1,6,0,,,,0,0,4,3,0,3,5,0,,,0,5,,,3,3,4,1,1,,,,,0,,2,0,,0.00,,,,
Function,"fast_breakcheck",neovim-0.2.0/src/nvim/misc1.c,,,,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,7,,,,0,,,,7,,,1,5,0,,,,0,0,2,2,0,2,3,0,,,0,3,,,2,2,2,1,0,,,,,0,,1,0,,0.00,,,,
Static Function,"fetch_cell",neovim-0.2.0/src/nvim/terminal.c,,,,0,19,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,20,,,,0,,,,19,,,4,5,1,,,,0,0,0,3,0,4,4,2,,,0,2,,,3,3,3,1,2,,,,,0,,2,0,,0.05,,,,
Static Function,"fetch_row",neovim-0.2.0/src/nvim/terminal.c,,,,2,27,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,31,,,,2,,,,27,,,8,13,2,,,,0,0,2,5,1,16,15,7,,,0,8,,,4,4,4,1,1,,,,,0,,2,0,,0.07,,,,
Function,"fex_format",neovim-0.2.0/src/nvim/ops.c,,,,4,29,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,39,,,,4,,,,29,,,13,16,7,,,,0,0,9,5,1,14,22,8,,,0,14,,,4,4,4,1,1,,,,,0,,1,0,,0.24,,,,
Static Function,"ff_check_visited",neovim-0.2.0/src/nvim/file_search.c,,,,7,40,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,55,,,,7,,,,40,,,5,37,8,,,,0,0,18,27,1,21,30,5,,,0,25,,,8,8,12,6,9,,,,,8,,3,7,,0.20,,,,
Static Function,"ff_clear",neovim-0.2.0/src/nvim/file_search.c,,,,5,24,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,31,,,,5,,,,24,,,3,16,2,,,,0,0,8,3,0,16,17,2,,,0,15,,,3,3,3,1,0,,,,,0,,2,0,,0.08,,,,
Static Function,"ff_create_stack_element",neovim-0.2.0/src/nvim/file_search.c,,,,4,18,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,23,,,,4,,,,18,,,2,15,1,,,,0,0,12,4,1,13,15,1,,,0,14,,,3,3,3,1,0,,,,,0,,1,0,,0.06,,,,
