,Name,File,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,NumRevision,NumAdded,NumDeleted,NumAuthor,Label
24,neovim-0.2.0/src/nvim/event/loop.c,neovim-0.2.0/src/nvim/event/loop.c,1.0,10.0,1.0,20.0,96.0,13.0,2.0,2.0,2.0,1.0,11.0,1.0,10.0,1.0,0.0,9.0,127,20,88,36.0,23.0,13,1.0,8.0,51.0,59,38,0.0,21,5.0,5.0,5.0,1.0,1,0.15,14.0,14.0,14.0,9.0,12,201,94,3,1
25,neovim-0.2.0/src/nvim/event/multiqueue.c,neovim-0.2.0/src/nvim/event/multiqueue.c,0.0,9.0,0.0,25.0,167.0,59.0,2.0,2.0,2.0,1.0,9.0,0.0,9.0,0.0,0.0,15.0,247,25,156,107.0,69.0,59,1.0,11.0,82.0,112,52,0.0,60,4.0,4.0,5.0,1.0,2,0.38,25.0,25.0,28.0,15.0,7,302,80,2,0
26,neovim-0.2.0/src/nvim/event/process.c,neovim-0.2.0/src/nvim/event/process.c,2.0,18.0,2.0,52.0,309.0,59.0,7.0,6.0,8.0,3.0,22.0,2.0,18.0,2.0,0.0,16.0,417,52,291,56.0,141.0,59,1.0,18.0,134.0,284,80,6.0,198,28.0,28.0,33.0,14.0,6,0.2,105.0,102.0,124.0,51.0,24,487,122,7,0
27,neovim-0.2.0/src/nvim/event/rstream.c,neovim-0.2.0/src/nvim/event/rstream.c,1.0,11.0,2.0,28.0,148.0,33.0,2.0,2.0,2.0,1.0,14.0,1.0,11.0,2.0,0.0,12.0,209,28,133,191.0,35.0,33,1.0,15.0,56.0,80,40,2.0,38,4.0,4.0,4.0,1.0,2,0.25,23.0,23.0,24.0,12.0,11,211,30,5,0
28,neovim-0.2.0/src/nvim/event/signal.c,neovim-0.2.0/src/nvim/event/signal.c,0.0,6.0,0.0,11.0,49.0,2.0,1.0,1.0,1.0,1.0,6.0,0.0,6.0,0.0,0.0,7.0,62,11,43,15.0,9.0,2,1.0,6.0,16.0,28,16,1.0,11,3.0,3.0,3.0,1.0,2,0.05,10.0,10.0,10.0,7.0,3,52,1,2,0
29,neovim-0.2.0/src/nvim/event/socket.c,neovim-0.2.0/src/nvim/event/socket.c,2.0,16.0,2.0,28.0,128.0,16.0,3.0,3.0,4.0,1.0,20.0,2.0,16.0,2.0,0.0,7.0,170,28,111,30.0,39.0,16,1.0,17.0,48.0,74,36,1.0,37,8.0,8.0,9.0,1.0,3,0.14,24.0,24.0,25.0,7.0,7,147,5,5,1
30,neovim-0.2.0/src/nvim/event/stream.c,neovim-0.2.0/src/nvim/event/stream.c,1.0,16.0,1.0,14.0,89.0,11.0,3.0,3.0,3.0,1.0,18.0,1.0,16.0,1.0,0.0,5.0,113,14,80,16.0,30.0,11,1.0,9.0,44.0,47,17,0.0,30,4.0,4.0,4.0,1.0,2,0.14,13.0,13.0,13.0,5.0,8,109,10,5,1
31,neovim-0.2.0/src/nvim/event/time.c,neovim-0.2.0/src/nvim/event/time.c,0.0,7.0,0.0,12.0,55.0,3.0,2.0,2.0,2.0,1.0,7.0,0.0,7.0,0.0,0.0,7.0,70,12,48,17.0,12.0,3,1.0,7.0,17.0,32,17,1.0,14,4.0,4.0,5.0,1.0,2,0.06,11.0,11.0,12.0,7.0,5,60,2,4,0
32,neovim-0.2.0/src/nvim/event/wstream.c,neovim-0.2.0/src/nvim/event/wstream.c,2.0,11.0,0.0,29.0,103.0,34.0,2.0,2.0,2.0,1.0,13.0,2.0,11.0,0.0,0.0,8.0,166,29,90,24.0,37.0,34,1.0,13.0,43.0,60,23,0.0,37,3.0,3.0,4.0,3.0,2,0.38,15.0,15.0,16.0,10.0,4,146,9,3,0
33,neovim-0.2.0/src/nvim/ex_cmds.c,neovim-0.2.0/src/nvim/ex_cmds.c,7.0,61.0,17.0,574.0,4430.0,1540.0,14.0,13.0,19.0,6.0,81.0,7.0,60.0,17.0,0.0,70.0,6265,571,4308,6147.0,6172.0,1533,43.0,89.0,2398.0,3661,888,26.0,2747,117.0,117.0,157.0,45.0,10,0.36,959.0,941.0,1313.0,430.0,215,9045,3354,49,0
