,Name,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,NumRevision,NumAdded,NumDeleted,NumAuthor,Label
2102,freeswitch-1.5.0/libs/sofia-sip/libsofia-sip-ua/nua/nua_client.c,5.0,26.0,3.0,256.0,1043.0,345.0,7.0,7.0,9.0,3.0,33.0,5.0,25.0,3.0,0.0,38.0,1631.0,250.0,963.0,185.0,1392.0,345.0,54.0,32.0,458.0,759.0,163.0,4.0,592.0,33.0,33.0,46.0,18.0,4.0,0.36,255.0,255.0,360.0,140.0,12,1392,17,3,1
2103,freeswitch-1.5.0/libs/sofia-sip/libsofia-sip-ua/nua/nua_common.c,2.0,18.0,1.0,56.0,247.0,137.0,11.0,3.0,12.0,1.0,21.0,2.0,18.0,1.0,0.0,10.0,437.0,47.0,183.0,21.0,133.0,137.0,43.0,37.0,129.0,232.0,19.0,0.0,213.0,56.0,13.0,56.0,4.0,3.0,0.75,112.0,32.0,121.0,16.0,16,481,100,2,0
2104,freeswitch-1.5.0/libs/sofia-sip/libsofia-sip-ua/nua/nua_dialog.c,3.0,19.0,1.0,115.0,456.0,105.0,5.0,5.0,7.0,2.0,23.0,3.0,19.0,1.0,0.0,23.0,674.0,115.0,435.0,108.0,534.0,105.0,1.0,21.0,210.0,325.0,75.0,2.0,248.0,18.0,18.0,23.0,11.0,5.0,0.24,124.0,124.0,159.0,53.0,27,828,269,3,0
2105,freeswitch-1.5.0/libs/sofia-sip/libsofia-sip-ua/nua/nua_event_server.c,8.0,36.0,2.0,66.0,241.0,47.0,8.0,8.0,12.0,2.0,45.0,8.0,36.0,2.0,0.0,6.0,354.0,66.0,228.0,61.0,137.0,47.0,0.0,13.0,100.0,170.0,65.0,0.0,105.0,15.0,15.0,20.0,7.0,4.0,0.21,49.0,49.0,70.0,14.0,12,377,89,2,0
2106,freeswitch-1.5.0/libs/sofia-sip/libsofia-sip-ua/nua/nua_extension.c,0.0,5.0,0.0,12.0,48.0,125.0,1.0,1.0,1.0,1.0,5.0,0.0,5.0,0.0,0.0,1.0,166.0,12.0,38.0,34.0,34.0,125.0,0.0,10.0,3.0,4.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,3.29,1.0,1.0,1.0,1.0,11,368,214,1,0
2107,freeswitch-1.5.0/libs/sofia-sip/libsofia-sip-ua/nua/nua_message.c,1.0,7.0,0.0,21.0,77.0,115.0,3.0,3.0,3.0,1.0,8.0,1.0,7.0,0.0,0.0,4.0,194.0,21.0,67.0,49.0,40.0,115.0,0.0,10.0,12.0,19.0,9.0,0.0,10.0,3.0,3.0,3.0,1.0,1.0,1.72,10.0,10.0,10.0,4.0,11,393,220,1,0
2108,freeswitch-1.5.0/libs/sofia-sip/libsofia-sip-ua/nua/nua_notifier.c,4.0,21.0,1.0,144.0,662.0,285.0,5.0,5.0,6.0,1.0,26.0,4.0,18.0,1.0,0.0,14.0,1043.0,87.0,336.0,158.0,410.0,255.0,360.0,37.0,263.0,193.0,90.0,1.0,102.0,13.0,13.0,15.0,4.0,5.0,0.76,69.0,69.0,84.0,22.0,33,2174,1275,3,0
2109,freeswitch-1.5.0/libs/sofia-sip/libsofia-sip-ua/nua/nua_options.c,0.0,7.0,0.0,10.0,34.0,84.0,1.0,1.0,1.0,1.0,7.0,0.0,7.0,0.0,0.0,1.0,114.0,10.0,24.0,21.0,19.0,84.0,0.0,10.0,2.0,3.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,3.5,1.0,1.0,1.0,1.0,10,238,134,1,0
2110,freeswitch-1.5.0/libs/sofia-sip/libsofia-sip-ua/nua/nua_params.c,11.0,65.0,9.0,207.0,1018.0,556.0,24.0,24.0,30.0,9.0,84.0,11.0,61.0,9.0,0.0,15.0,1767.0,201.0,939.0,125.0,1300.0,554.0,48.0,39.0,419.0,721.0,177.0,22.0,522.0,144.0,144.0,167.0,95.0,5.0,0.59,354.0,354.0,452.0,142.0,26,2548,988,2,0
2111,freeswitch-1.5.0/libs/sofia-sip/libsofia-sip-ua/nua/nua_publish.c,2.0,16.0,0.0,62.0,283.0,213.0,4.0,4.0,5.0,2.0,19.0,2.0,16.0,0.0,0.0,12.0,538.0,62.0,273.0,135.0,146.0,213.0,0.0,10.0,92.0,141.0,58.0,1.0,82.0,8.0,8.0,13.0,5.0,4.0,0.78,49.0,49.0,65.0,30.0,17,1074,598,2,0
