,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,NumRevision,NumAdded,NumDeleted,NumAuthor,Label
308,spring-boot-1.4.0.RELEASE/spring-boot-actuator/src/test/java/org/springframework/boot/actuate/endpoint/mvc/HalBrowserMvcEndpointServerPortIntegrationTests.java,1.0,1.0,1.0,1.0,8.0,0.0,8.0,0.0,2.0,0.0,0.0,4.0,4.0,4.0,1.0,4.0,0.0,0.0,0.0,4.0,109.0,14.0,73.0,50.0,27.0,25.0,43.0,49.0,36.0,13.0,1.0,1.0,1.0,1.0,0.0,0.34,4,4,4,4,9,128,33,2,1
309,spring-boot-1.4.0.RELEASE/spring-boot-actuator/src/test/java/org/springframework/boot/actuate/endpoint/mvc/HalBrowserMvcEndpointVanillaIntegrationTests.java,1.0,1.0,1.0,1.0,7.0,0.0,7.0,0.0,2.0,0.0,0.0,8.0,8.0,8.0,3.0,8.0,0.0,0.0,0.0,8.0,144.0,20.0,103.0,59.0,36.0,22.0,43.0,59.0,43.0,16.0,4.0,4.0,4.0,3.0,2.0,0.21,14,14,14,12,9,141,17,4,1
310,spring-boot-1.4.0.RELEASE/spring-boot-actuator/src/test/java/org/springframework/boot/actuate/endpoint/mvc/HealthMvcEndpointTests.java,1.0,1.0,1.0,1.0,10.0,0.0,10.0,0.0,1.0,0.0,1.0,13.0,13.0,13.0,5.0,13.0,0.0,0.0,0.0,13.0,233.0,26.0,183.0,76.0,119.0,25.0,119.0,133.0,55.0,78.0,1.0,1.0,1.0,1.0,0.0,0.14,13,13,13,13,27,402,195,7,0
311,spring-boot-1.4.0.RELEASE/spring-boot-actuator/src/test/java/org/springframework/boot/actuate/endpoint/mvc/HeapdumpMvcEndpointTests.java,1.0,1.0,1.0,1.0,6.0,0.0,6.0,0.0,4.0,0.0,0.0,13.0,13.0,13.0,6.0,13.0,1.0,0.0,1.0,11.0,175.0,31.0,124.0,73.0,37.0,20.0,63.0,82.0,55.0,27.0,4.0,4.0,4.0,1.0,1.0,0.16,16,16,16,13,3,144,0,2,0
312,spring-boot-1.4.0.RELEASE/spring-boot-actuator/src/test/java/org/springframework/boot/actuate/endpoint/mvc/InfoMvcEndpointTests.java,1.0,1.0,1.0,1.0,7.0,0.0,6.0,0.0,4.0,0.0,0.0,7.0,7.0,7.0,2.0,7.0,0.0,0.0,0.0,7.0,123.0,17.0,85.0,54.0,24.0,21.0,45.0,54.0,42.0,12.0,1.0,1.0,1.0,1.0,0.0,0.25,7,7,7,7,9,181,75,4,0
313,spring-boot-1.4.0.RELEASE/spring-boot-actuator/src/test/java/org/springframework/boot/actuate/endpoint/mvc/InfoMvcEndpointWithNoInfoContributorsTests.java,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,3.0,3.0,3.0,2.0,3.0,0.0,0.0,0.0,3.0,85.0,14.0,50.0,41.0,4.0,21.0,29.0,34.0,30.0,4.0,1.0,1.0,1.0,1.0,0.0,0.42,3,3,3,3,1,71,0,1,0
314,spring-boot-1.4.0.RELEASE/spring-boot-actuator/src/test/java/org/springframework/boot/actuate/endpoint/mvc/JolokiaMvcEndpointContextPathTests.java,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,3.0,0.0,0.0,3.0,3.0,3.0,2.0,3.0,0.0,0.0,0.0,3.0,101.0,12.0,68.0,55.0,7.0,21.0,36.0,42.0,38.0,4.0,1.0,1.0,1.0,1.0,0.0,0.31,3,3,3,3,14,127,38,4,0
315,spring-boot-1.4.0.RELEASE/spring-boot-actuator/src/test/java/org/springframework/boot/actuate/endpoint/mvc/JolokiaMvcEndpointTests.java,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,2.0,0.0,0.0,5.0,5.0,5.0,3.0,5.0,0.0,0.0,0.0,5.0,113.0,17.0,75.0,56.0,13.0,21.0,38.0,45.0,39.0,6.0,1.0,1.0,1.0,1.0,0.0,0.28,5,5,5,5,17,162,66,5,0
316,spring-boot-1.4.0.RELEASE/spring-boot-actuator/src/test/java/org/springframework/boot/actuate/endpoint/mvc/LogFileMvcEndpointTests.java,1.0,1.0,1.0,1.0,8.0,0.0,8.0,0.0,1.0,0.0,0.0,7.0,7.0,7.0,4.0,7.0,0.0,0.0,0.0,7.0,124.0,18.0,85.0,52.0,44.0,21.0,55.0,63.0,38.0,25.0,1.0,1.0,1.0,1.0,0.0,0.25,7,7,7,7,8,137,31,6,0
317,spring-boot-1.4.0.RELEASE/spring-boot-actuator/src/test/java/org/springframework/boot/actuate/endpoint/mvc/MetricsMvcEndpointTests.java,1.0,1.0,1.0,1.0,5.0,0.0,5.0,0.0,3.0,0.0,0.0,12.0,12.0,12.0,2.0,12.0,0.0,0.0,0.0,12.0,158.0,24.0,113.0,69.0,34.0,21.0,57.0,71.0,50.0,21.0,1.0,1.0,1.0,1.0,0.0,0.19,12,12,12,12,17,197,63,5,0
318,spring-boot-1.4.0.RELEASE/spring-boot-actuator/src/test/java/org/springframework/boot/actuate/endpoint/mvc/MvcEndpointCorsIntegrationTests.java,1.0,1.0,1.0,1.0,7.0,0.0,7.0,0.0,1.0,0.0,0.0,15.0,15.0,15.0,1.0,15.0,0.0,3.0,0.0,12.0,193.0,22.0,151.0,50.0,85.0,20.0,52.0,68.0,38.0,30.0,1.0,1.0,1.0,1.0,0.0,0.13,15,15,15,15,10,277,106,4,0
319,spring-boot-1.4.0.RELEASE/spring-boot-actuator/src/test/java/org/springframework/boot/actuate/endpoint/mvc/MvcEndpointIntegrationTests.java,1.0,1.0,1.0,1.0,6.0,0.0,6.0,0.0,5.0,0.0,1.0,19.0,19.0,19.0,1.0,19.0,0.0,4.0,0.0,15.0,259.0,35.0,204.0,109.0,84.0,20.0,103.0,129.0,70.0,59.0,2.0,2.0,2.0,1.0,1.0,0.1,20,20,20,19,15,277,53,4,0
320,spring-boot-1.4.0.RELEASE/spring-boot-actuator/src/test/java/org/springframework/boot/actuate/endpoint/mvc/MvcEndpointsTests.java,1.0,1.0,1.0,1.0,6.0,0.0,6.0,0.0,2.0,0.0,0.0,6.0,6.0,6.0,2.0,6.0,0.0,0.0,0.0,6.0,94.0,15.0,59.0,24.0,30.0,20.0,31.0,39.0,18.0,21.0,1.0,1.0,1.0,1.0,0.0,0.34,6,6,6,6,12,96,17,4,0
321,spring-boot-1.4.0.RELEASE/spring-boot-actuator/src/test/java/org/springframework/boot/actuate/endpoint/mvc/NamePatternFilterTests.java,1.0,1.0,1.0,1.0,5.0,0.0,5.0,0.0,2.0,0.0,0.0,11.0,11.0,11.0,1.0,11.0,1.0,0.0,3.0,7.0,118.0,20.0,77.0,38.0,37.0,21.0,41.0,54.0,29.0,25.0,1.0,1.0,1.0,1.0,0.0,0.27,11,11,11,11,7,127,29,2,1
322,spring-boot-1.4.0.RELEASE/spring-boot-actuator/src/test/java/org/springframework/boot/actuate/endpoint/mvc/ShutdownMvcEndpointTests.java,1.0,1.0,1.0,1.0,6.0,0.0,6.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,49.0,10.0,19.0,16.0,5.0,20.0,12.0,14.0,13.0,1.0,1.0,1.0,1.0,1.0,0.0,1.05,1,1,1,1,7,51,12,4,0
323,spring-boot-1.4.0.RELEASE/spring-boot-actuator/src/test/java/org/springframework/boot/actuate/health/ApplicationHealthIndicatorTests.java,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,36.0,6.0,10.0,7.0,2.0,20.0,5.0,7.0,6.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,1,1,1,1,3,33,3,2,0
324,spring-boot-1.4.0.RELEASE/spring-boot-actuator/src/test/java/org/springframework/boot/actuate/health/CompositeHealthIndicatorTests.java,1.0,1.0,1.0,1.0,13.0,0.0,13.0,0.0,1.0,0.0,0.0,5.0,5.0,5.0,4.0,5.0,0.0,0.0,0.0,5.0,129.0,16.0,91.0,46.0,57.0,22.0,53.0,59.0,33.0,26.0,1.0,1.0,1.0,1.0,0.0,0.24,5,5,5,5,11,246,133,5,0
325,spring-boot-1.4.0.RELEASE/spring-boot-actuator/src/test/java/org/springframework/boot/actuate/health/DataSourceHealthIndicatorTests.java,1.0,1.0,1.0,1.0,7.0,0.0,7.0,0.0,1.0,0.0,0.0,6.0,6.0,6.0,2.0,6.0,0.0,0.0,0.0,6.0,106.0,16.0,70.0,36.0,34.0,20.0,45.0,53.0,30.0,23.0,2.0,2.0,2.0,1.0,1.0,0.29,7,7,7,6,15,151,61,7,0
326,spring-boot-1.4.0.RELEASE/spring-boot-actuator/src/test/java/org/springframework/boot/actuate/health/DiskSpaceHealthIndicatorTests.java,1.0,1.0,1.0,1.0,8.0,0.0,8.0,0.0,1.0,0.0,1.0,4.0,4.0,4.0,3.0,4.0,0.0,1.0,0.0,3.0,87.0,14.0,53.0,28.0,25.0,20.0,36.0,41.0,22.0,19.0,1.0,1.0,1.0,1.0,0.0,0.38,4,4,4,4,10,114,41,3,0
327,spring-boot-1.4.0.RELEASE/spring-boot-actuator/src/test/java/org/springframework/boot/actuate/health/ElasticsearchHealthIndicatorTests.java,1.0,1.0,1.0,1.0,6.0,0.0,6.0,0.0,3.0,0.0,0.0,20.0,20.0,20.0,7.0,20.0,0.0,3.0,0.0,17.0,238.0,36.0,182.0,95.0,84.0,20.0,99.0,122.0,69.0,53.0,1.0,1.0,1.0,1.0,0.0,0.11,20,20,20,20,9,247,45,4,0
